Construction_Investment,Year,Value,Total,Architecture_Total,Architecture_Residential,Architecture_Residential_Government,Architecture_Residential_Private,Architecture_Non Residential,Architecture_Non Residential_Government,Architecture_Non Residential_Private,Architecture_Non Residential_Private_Mining and Industry,Architecture_Non Residential_Private_Other,Architecture_Building Repairs(Renovation or Remodeling),Architecture_Building Repairs_Government,Architecture_Building Repairs_Private,Civil Engineering_Total,Civil Engineering_Government,Civil Engineering_Government_Public Projects,Civil Engineering_Government_Other,Civil Engineering_Private,Repeated_Total_Government,Repeated_Total_Private,Repeated_Architecture_Government,Repeated_Architecture_Private,Repeated_Civil Engineering_Government,Repeated_Civil Engineering_Private,Repeated_Private_Non Residential Construction(Non Residential Architecture and Civil Engineering)
amount,2022,real,669900,434000,163100,3400,159700,157600,38500,119100,,,113300,18600,94700,235900,164800,144500,20300,71100,225300,444600,60500,373500,164800,71100,190200
amount,2021,real,666000,425800,164700,3600,161100,148200,40000,108200,,,112900,19300,93600,240200,171000,150000,21000,69200,233900,432100,62900,362900,171000,69200,177400
amount,2020,real,653600,405300,156800,4200,152600,145300,40300,105000,,,103200,19200,84000,248300,180600,155400,25200,67700,244300,409300,63700,341600,180600,67700,172700
amount,2019,real,623280,401817,167478,4358,163120,155383,39078,116305,24991,91314,78956,14063,64893,221463,167303,141949,25354,54160,224802,398478,57499,344318,167303,54160,170465
amount,2018,real,618271,404856,172580,5214,167366,153994,38778,115216,25608,89608,78282,13049,65233,213415,158869,135472,23397,54546,215910,402361,57041,347815,158869,54546,169762
amount,2017,real,613251,408592,175629,6207,169422,156860,42333,114527,22777,91750,76103,13196,62907,204659,156064,133094,22970,48595,217800,395451,61736,346856,156064,48595,163122
amount,2016,real,587399,383061,172209,7583,164626,137223,34795,102428,19756,82672,73629,13433,60196,204338,154051,128986,25065,50287,209862,377537,55811,327250,154051,50287,152715
amount,2015,real,566468,370916,164808,7898,156910,130824,34905,95919,19587,76332,75284,13284,62000,195552,145961,119549,26412,49591,202048,364420,56087,314829,145961,49591,145510
amount,2014,real,474941,281899,156221,7460,148761,125678,34076,91602,15718,75884,,,,193042,144568,124667,19901,48474,186104,288837,41536,240363,144568,48474,140076
amount,2013,real,482997,287243,172185,6496,165689,115058,26728,88330,13773,74557,,,,195754,150460,130016,20444,45294,183684,299313,33224,254019,150460,45294,133624
amount,2012,real,424493,248888,152340,4493,147847,96548,22798,73750,12867,60883,,,,175605,133207,114612,18595,42398,160498,263995,27291,221597,133207,42398,116148
amount,2011,real,421139,237753,144579,4363,140216,93174,19021,74153,11639,62514,,,,183386,139939,119105,20834,43447,163323,257816,23384,214369,139939,43447,117600
