longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,income_category,age_category
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,6.984126984126984,0.14659090909090908,2.5555555555555554,Very High,Very Old
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,6.238137082601054,0.15579659106916466,2.109841827768014,Very High,Moderately Old
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,8.288135593220339,0.12951601908657123,2.8022598870056497,Very High,Very Old
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,5.8173515981735155,0.18445839874411302,2.547945205479452,High,Very Old
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,6.281853281853282,0.1720958819913952,2.1814671814671813,Medium,Very Old
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,4.761658031088083,0.23177366702937977,2.139896373056995,Medium,Very Old
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,4.9319066147859925,0.19289940828402366,2.1284046692607004,Medium,Very Old
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,4.797527047913447,0.22132731958762886,1.7882534775888717,Medium,Very Old
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,4.294117647058823,0.2602739726027397,2.026890756302521,Low,Very Old
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,4.970588235294118,0.1992110453648915,2.172268907563025,Medium,Very Old
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,5.477611940298507,0.19709355131698456,2.263681592039801,Medium,Very Old
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,4.772479564032698,0.2146731373108764,2.0490463215258856,Medium,Very Old
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,5.322649572649572,0.1902850260939382,2.3461538461538463,Medium,Very Old
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,4.0,0.2744252873563218,1.9827586206896552,Low,Very Old
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,4.262903225806451,0.23685206205069997,1.9548387096774194,Low,Very Old
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,4.242424242424242,0.2526785714285714,2.640151515151515,Low,Very Old
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,5.9395770392749245,0.17650050864699898,2.395770392749245,Low,Very Old
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,4.052805280528053,0.23859934853420195,2.1386138613861387,Low,Very Old
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,5.343675417661098,0.20321572130415363,2.3627684964200477,Low,Very Old
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,5.465454545454546,0.19827012641383898,2.5090909090909093,Low,Very Old
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,4.524096385542169,0.24500665778961384,2.463855421686747,Very Low,Very Old
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,4.478142076502732,0.2239170225747407,2.5382513661202184,Low,Very Old
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,5.096234309623431,0.22208538587848933,2.1234309623430963,Low,Very Old
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,5.193846153846154,0.19964454976303317,2.624615384615385,Low,Very Old
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,5.270142180094787,0.19649280575539568,2.3838862559241707,Low,Very Old
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,4.495798319327731,0.22990654205607478,2.6638655462184873,Low,Very Old
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,4.7280334728033475,0.215929203539823,2.5397489539748954,Low,Very Old
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,4.7808564231738035,0.22181243414120128,2.7758186397984885,Low,Very Old
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,4.40169133192389,0.23631123919308358,2.3911205073995774,Low,Very Old
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,4.703225806451613,0.2194787379972565,2.5483870967741935,Low,Very Old
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,5.068783068783069,0.23329853862212943,2.2830687830687832,Low,Very Old
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,4.882086167800454,0.22340919647004182,2.6485260770975056,Low,Very Old
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,5.737313432835821,0.21279916753381894,3.062686567164179,Low,Very Old
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,5.0303951367781155,0.22114803625377644,2.291793313069909,Very Low,Very Old
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,4.972014925373134,0.2153846153846154,2.3470149253731343,Low,Very Old
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,4.6022727272727275,0.23209876543209876,2.159090909090909,Very Low,Very Old
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,4.807486631016043,0.24026696329254726,2.6390374331550803,Very Low,Very Old
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,3.7493796526054592,0.25810721376571805,2.235732009925558,Very Low,Very Old
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,4.757281553398058,0.22448979591836735,2.2297734627831716,Medium,Very Old
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,3.4942528735632186,0.29399671052631576,1.978448275862069,Low,Very Old
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,4.215189873417722,0.25165165165165165,2.3949367088607594,Low,Very Old
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,3.7590361445783134,0.33226495726495725,2.076305220883534,Very Low,Very Old
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,3.7724867724867726,0.28330995792426367,2.4444444444444446,Very Low,Very Old
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,4.797979797979798,0.21263157894736842,2.3585858585858586,Medium,Very Old
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,4.941780821917808,0.21552321552321552,2.26027397260274,Medium,Very Old
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,4.335078534031414,0.2536231884057971,1.8795811518324608,Low,Very Old
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,3.700657894736842,0.2862222222222222,2.026315789473684,Low,Very Old
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,3.9802371541501977,0.3098311817279047,2.205533596837945,Low,Very Old
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,3.9,0.3125,2.64375,Very Low,Very Old
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,2.6875,0.3964059196617336,1.9886363636363635,Low,Very Old
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,2.045662100456621,0.5055803571428571,1.678082191780822,Very Low,Moderately Old
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,4.58968058968059,0.24411134903640258,2.6068796068796067,Low,Very Old
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,4.473611111111111,0.26482458863706926,2.720833333333333,Very Low,Very Old
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,4.075,0.27975460122699386,2.905,Very Low,Very Old
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,5.021459227467811,0.20085470085470086,3.0085836909871246,Low,Very Old
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,4.295454545454546,0.2571428571428571,2.618181818181818,Very Low,Very Old
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,4.77992277992278,0.23263327948303716,2.4015444015444016,Low,Very Old
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,6.102459016393443,0.22498321020819342,2.9836065573770494,Very Low,Very Old
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,4.5625,0.24585436193222782,3.5328947368421053,Very Low,Very Old
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,2.7719298245614037,0.2721518987341772,1.6491228070175439,Low,New
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,5.994652406417113,0.18822479928635147,2.962566844919786,Medium,Very Old
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,5.869565217391305,0.21481481481481482,3.739130434782609,Very High,Very Old
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,6.229508196721311,0.25,3.0901639344262297,Very Low,Very Old
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,7.69811320754717,0.19362745098039216,3.2767295597484276,Very Low,Very Old
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,6.225563909774436,0.21980676328502416,2.9473684210526314,Low,Very Old
